Sample,F1,F2,F3,Ax,Ay,Az
407,1.0,2.0,3.0,0.01,-0.52,-1.03
408,1.0,2.0,3.0,0.0,-0.52,-1.02
409,1.0,2.0,3.0,0.0,-0.52,-1.02
410,1.0,2.0,3.0,-0.0,-0.51,-1.02
411,1.0,2.0,3.0,-0.0,-0.51,-1.02
412,1.0,2.0,3.0,-0.0,-0.51,-1.03
413,1.0,2.0,3.0,0.0,-0.51,-1.03
414,1.0,2.0,3.0,0.0,-0.52,-1.01
415,1.0,2.0,3.0,0.0,-0.52,-1.02
416,1.0,2.0,3.0,0.0,-0.51,-1.03
417,1.0,2.0,3.0,-0.0,-0.51,-1.02
418,1.0,2.0,3.0,-0.0,-0.51,-1.02
419,1.0,2.0,3.0,-0.0,-0.52,-1.03
420,1.0,2.0,3.0,0.0,-0.52,-1.02
421,1.0,2.0,3.0,-0.0,-0.52,-1.01
422,1.0,2.0,3.0,0.0,-0.52,-1.03
423,1.0,2.0,3.0,0.07,-0.53,-1.02
424,1.0,2.0,3.0,-0.01,-0.52,-1.01
425,1.0,2.0,3.0,0.12,-0.53,-1.02
426,1.0,2.0,3.0,0.05,-0.5,-1.0
427,1.0,2.0,3.0,-0.23,-0.51,-1.02
428,1.0,2.0,3.0,-0.05,-0.52,-1.03
429,1.0,2.0,3.0,0.04,-0.51,-1.03
430,1.0,2.0,3.0,0.23,-0.54,-1.02
431,1.0,2.0,3.0,-0.29,-0.41,-1.04
432,1.0,2.0,3.0,-0.13,-0.51,-1.02
433,1.0,2.0,3.0,-0.02,-0.49,-1.08
434,1.0,2.0,3.0,0.01,-0.52,-1.04
435,1.0,2.0,3.0,-0.07,-0.5,-1.02
436,1.0,2.0,3.0,-0.04,-0.5,-1.02
437,1.0,2.0,3.0,-0.05,-0.49,-1.04
438,1.0,2.0,3.0,-0.07,-0.51,-1.04
439,1.0,2.0,3.0,-0.11,-0.51,-1.08
440,1.0,2.0,3.0,-0.15,-0.5,-1.0
441,1.0,2.0,3.0,-0.2,-0.51,-1.01
442,1.0,2.0,3.0,-0.24,-0.52,-0.98
443,1.0,2.0,3.0,-0.3,-0.52,-0.95
444,1.0,2.0,3.0,-0.34,-0.53,-0.91
445,1.0,2.0,3.0,-0.37,-0.54,-0.85
446,1.0,2.0,3.0,-0.35,-0.55,-0.98
447,1.0,2.0,3.0,-0.35,-0.55,-0.91
448,1.0,2.0,3.0,-0.32,-0.52,-0.88
449,1.0,2.0,3.0,-0.26,-0.53,-0.93
450,1.0,2.0,3.0,-0.08,-0.59,-1.07
451,1.0,2.0,3.0,-0.11,-0.5,-1.09
452,1.0,2.0,3.0,-0.06,-0.47,-1.14
453,1.0,2.0,3.0,-0.05,-0.49,-1.02
454,1.0,2.0,3.0,-0.04,-0.51,-1.03
455,1.0,2.0,3.0,-0.03,-0.51,-1.02
456,1.0,2.0,3.0,-0.02,-0.5,-1.02
457,1.0,2.0,3.0,-0.03,-0.51,-1.02
458,1.0,2.0,3.0,0.03,-0.57,-1.04
459,1.0,2.0,3.0,0.06,-0.54,-1.05
460,1.0,2.0,3.0,0.13,-0.5,-1.01
461,1.0,2.0,3.0,0.2,-0.47,-1.04
462,1.0,2.0,3.0,0.24,-0.5,-0.98
463,1.0,2.0,3.0,0.26,-0.53,-1.01
464,1.0,2.0,3.0,0.33,-0.54,-1.0
465,1.0,2.0,3.0,0.39,-0.51,-0.9
466,1.0,2.0,3.0,0.45,-0.53,-0.88
467,1.0,2.0,3.0,0.49,-0.55,-0.86
468,1.0,2.0,3.0,0.51,-0.54,-0.9
469,1.0,2.0,3.0,0.54,-0.54,-0.87
470,1.0,2.0,3.0,0.57,-0.56,-0.91
